tate,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROGRAM,;,.,BEGIN,END,VAR,:,TYPE,=,PROCEDURE,(,),CONST,:=,INT,LIT,+,-,ARRAY,[,..,],OF,RECORD,ID,",",WHILE,DO,READ,WRITE,WRITELN,IF,THEN,ELSE,NOT,AND,OR,>,<,<=,>=,<>,*,/,$,prog,bloco,decls,decl,vardecl,typedecl,procdecl,constdecl,valor,valorss,sinal,type,campos,campo,params,param,iden,idens,coms,stmt,mstmt,unst,exprs,expr,opbool,expr1,opcomp,expr2,opad,expr3,opmult,expr4,var
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,r27,r27,,r27,,r27,,r27,,r27,r27,,r27,,,r27,r27,,r27,,r27,,,,r27,,r27,,,,,r27,r27,,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,r3,,r3,,r3,,r3,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,s8,,s14,,s15,,s16,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,18,19,20,21,,,,,,,,,,,23
9,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,
18,,s38,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,r31,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,r32,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,r33,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,39,19,20,21,,,,,,,,,,,23
23,,,s42,,,,,,,,,,,s40,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,43,,45,,46,,48,,51,52
25,,,,,,,,,,,s30,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,56
26,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,57,,45,,46,,48,,51,52
27,,r39,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,58,,45,,46,,48,,51,52
29,,r71,r71,,r71,,,,r71,,r71,r71,,r71,,,r71,r71,,r71,,r71,,,,r71,,r71,,,,,r71,r71,,r71,r71,r71,r71,r71,r71,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,
31,,,,r2,,r2,,r2,,r2,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,s60,,,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,r29,,,,,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r1,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,r40,,s22,r40,,,,,,s30,,,,,,,,,,,,,,s3,,s24,,s25,s26,s27,s28,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,65,20,21,,,,,,,,,,,23
39,,s38,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,67,,45,,46,,48,,51,52
41,,,,,,,,,,,s30,,,,s54,s55,s49,s50,,,,,,,s3,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,53,47,,,,,,29,,,,,,,68,,45,,46,,48,,51,52
42,,,,,,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,
